,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,MathScore,ReadingScore,WritingScore
294,female,group C,master's degree,free/reduced,none,single,sometimes,yes,4,school_bus,5 - 10,61,71,72
295,male,group E,some college,free/reduced,none,married,never,no,1,private,< 5,67,72,64
296,male,group C,high school,free/reduced,completed,single,sometimes,yes,2,,5 - 10,53,53,57
297,male,group D,some high school,standard,none,single,never,yes,0,school_bus,< 5,61,59,56
298,female,group C,some high school,standard,completed,single,sometimes,yes,3,school_bus,< 5,45,59,58
300,female,group E,bachelor's degree,standard,completed,married,never,yes,,private,> 10,69,78,82
301,female,group B,some college,standard,none,divorced,regularly,yes,3,private,5 - 10,63,86,86
302,female,group C,some high school,standard,none,single,never,no,1,school_bus,5 - 10,75,96,85
304,female,group C,,free/reduced,completed,married,never,no,5,private,< 5,32,51,56
305,female,group C,associate's degree,free/reduced,none,divorced,regularly,no,3,private,> 10,57,77,78
307,male,group B,master's degree,standard,none,married,sometimes,yes,2,private,5 - 10,78,63,67
308,male,group B,some high school,standard,,divorced,regularly,yes,3,school_bus,> 10,49,56,52
309,male,group E,associate's degree,standard,none,single,never,no,3,school_bus,5 - 10,97,87,87
310,female,group D,some high school,standard,none,married,regularly,no,2,private,5 - 10,66,72,64
311,female,group C,high school,standard,completed,divorced,regularly,,1,school_bus,> 10,79,83,84
312,female,group D,some college,standard,none,married,sometimes,yes,5,private,> 10,65,69,73
313,male,group C,master's degree,free/reduced,completed,married,regularly,yes,1,private,> 10,62,47,53
314,male,group B,some high school,standard,none,single,regularly,yes,0,private,< 5,78,76,72
315,female,group B,some college,standard,none,divorced,regularly,yes,1,school_bus,< 5,47,54,50
316,female,group C,some high school,standard,none,married,sometimes,yes,0,school_bus,> 10,60,66,64
317,female,group C,some high school,standard,none,married,sometimes,yes,2,private,5 - 10,65,77,68
318,female,group C,high school,standard,completed,married,regularly,no,,private,,74,100,96
319,male,,some college,standard,none,,sometimes,no,,school_bus,5 - 10,53,51,48
320,male,group D,associate's degree,free/reduced,none,single,sometimes,yes,2,school_bus,5 - 10,83,79,84
321,female,group D,associate's degree,free/reduced,completed,single,sometimes,no,4,school_bus,5 - 10,82,94,98
322,female,group D,some college,standard,none,single,regularly,yes,4,school_bus,5 - 10,70,63,70
323,female,group C,bachelor's degree,free/reduced,completed,divorced,sometimes,yes,5,private,5 - 10,44,57,53
324,male,group B,bachelor's degree,free/reduced,completed,married,never,yes,3,,< 5,79,91,85
325,female,group D,associate's degree,standard,completed,married,never,yes,3,school_bus,> 10,69,84,86
326,male,group C,some high school,standard,completed,,sometimes,no,2,school_bus,5 - 10,73,82,74
327,female,,master's degree,standard,completed,single,regularly,yes,4,school_bus,5 - 10,75,81,80
328,female,group E,some college,free/reduced,none,married,sometimes,yes,2,private,5 - 10,55,67,61
329,male,,associate's degree,standard,none,married,sometimes,,1,private,5 - 10,51,47,47
330,female,group D,some college,standard,completed,married,sometimes,yes,2,school_bus,5 - 10,52,69,67
331,female,group C,high school,free/reduced,none,divorced,sometimes,yes,1,private,5 - 10,27,36,33
332,female,group C,associate's degree,standard,none,single,regularly,no,1,,< 5,50,65,63
333,male,group B,some college,standard,completed,married,sometimes,yes,2,private,5 - 10,81,78,82
334,male,group A,bachelor's degree,standard,none,single,sometimes,yes,0,private,5 - 10,90,78,76
335,female,group B,high school,standard,none,divorced,regularly,yes,1,private,> 10,70,69,71
336,male,group C,high school,standard,none,divorced,regularly,yes,2,school_bus,< 5,64,70,64
337,male,group C,bachelor's degree,free/reduced,completed,single,sometimes,yes,3,school_bus,5 - 10,72,77,70
338,female,group C,,free/reduced,completed,widowed,regularly,yes,1,private,< 5,61,83,86
339,female,group C,some high school,free/reduced,none,married,regularly,no,2,private,5 - 10,55,70,66
340,female,group C,high school,standard,none,married,regularly,yes,1,school_bus,5 - 10,87,95,94
341,female,group B,some college,standard,completed,married,sometimes,yes,0,private,< 5,65,70,76
342,female,group C,associate's degree,free/reduced,none,married,sometimes,yes,0,school_bus,5 - 10,60,77,71
343,female,group D,some college,standard,none,married,sometimes,no,1,private,< 5,77,80,82
344,female,group A,some high school,standard,none,married,sometimes,no,4,school_bus,5 - 10,70,74,77
346,male,group A,bachelor's degree,standard,none,married,sometimes,no,,private,,57,58,56
347,male,group C,associate's degree,standard,completed,single,never,yes,2,school_bus,> 10,68,64,61
348,male,group C,,free/reduced,none,single,sometimes,no,3,private,< 5,42,39,37
349,male,group A,high school,standard,,divorced,regularly,yes,2,private,> 10,85,72,69
350,male,group E,high school,standard,none,married,regularly,no,3,school_bus,5 - 10,79,76,75
351,female,group C,associate's degree,free/reduced,,single,regularly,yes,3,private,> 10,65,62,65
352,female,group C,bachelor's degree,standard,none,married,regularly,no,3,school_bus,> 10,70,62,67
353,male,group D,high school,standard,completed,,sometimes,no,3,school_bus,< 5,74,71,72
354,female,group C,high school,free/reduced,none,married,regularly,yes,5,private,> 10,43,53,43
355,female,group D,high school,free/reduced,none,married,sometimes,no,2,school_bus,5 - 10,51,60,57
356,male,group C,,standard,none,single,never,yes,2,private,5 - 10,55,60,54
357,female,group C,associate's degree,standard,none,single,regularly,yes,0,private,5 - 10,84,95,97
358,female,group C,high school,free/reduced,none,married,regularly,yes,0,school_bus,< 5,51,56,58
360,female,group A,some high school,free/reduced,none,single,regularly,no,4,school_bus,5 - 10,22,30,24
361,male,group C,some high school,free/reduced,completed,divorced,regularly,yes,0,private,5 - 10,51,50,54
362,male,group E,high school,standard,completed,single,sometimes,yes,2,school_bus,< 5,81,60,64
363,female,group B,some high school,standard,none,single,sometimes,yes,3,private,5 - 10,59,54,56
364,male,group E,some college,standard,none,married,sometimes,yes,1,school_bus,< 5,68,65,62
365,male,group A,some college,standard,completed,single,regularly,yes,,school_bus,5 - 10,80,69,67
366,female,group A,associate's degree,standard,none,divorced,sometimes,yes,0,school_bus,5 - 10,53,69,62
367,female,group B,some college,free/reduced,completed,married,regularly,yes,1,school_bus,< 5,62,74,72
368,female,group C,some college,standard,completed,married,regularly,no,3,private,5 - 10,56,66,69
369,male,group C,associate's degree,standard,none,single,regularly,yes,1,school_bus,5 - 10,67,60,64
370,male,group C,some high school,free/reduced,none,single,sometimes,yes,3,private,< 5,43,51,46
371,female,group E,some high school,standard,none,married,regularly,yes,2,private,5 - 10,77,84,80
372,female,group C,some college,free/reduced,none,divorced,regularly,no,3,private,5 - 10,58,75,73
373,female,group B,bachelor's degree,standard,none,divorced,sometimes,yes,2,school_bus,< 5,72,76,78
374,male,group A,some high school,free/reduced,none,married,sometimes,yes,2,private,< 5,44,39,38
375,female,group C,associate's degree,free/reduced,none,single,regularly,yes,5,school_bus,> 10,57,66,64
376,male,group D,some college,standard,completed,,sometimes,yes,0,school_bus,> 10,96,96,99
377,male,group C,some college,standard,completed,married,sometimes,,3,school_bus,< 5,63,62,60
378,male,group A,master's degree,standard,none,married,regularly,no,5,private,> 10,63,50,53
379,male,group D,some college,standard,completed,single,regularly,yes,,school_bus,< 5,69,70,75
380,female,group D,some high school,free/reduced,none,divorced,regularly,no,4,private,5 - 10,53,68,67
381,male,group D,some college,standard,none,single,never,no,,school_bus,> 10,63,67,65
382,female,group C,high school,standard,none,married,regularly,yes,5,private,> 10,59,76,72
383,female,group C,bachelor's degree,standard,none,married,never,no,1,school_bus,> 10,38,42,39
384,female,group B,bachelor's degree,standard,,married,never,no,3,school_bus,< 5,75,82,90
385,female,group C,some high school,free/reduced,completed,single,sometimes,yes,3,school_bus,< 5,38,52,56
386,male,group D,some high school,standard,none,divorced,sometimes,yes,1,school_bus,5 - 10,62,49,47
387,male,group E,high school,standard,none,married,sometimes,yes,1,private,5 - 10,95,83,83
388,male,group E,some college,standard,none,married,regularly,yes,3,private,5 - 10,100,89,85
389,female,group D,some high school,free/reduced,completed,married,regularly,no,3,school_bus,5 - 10,57,63,62
390,male,group D,high school,standard,none,married,regularly,yes,3,private,< 5,74,65,65
391,male,group D,bachelor's degree,standard,none,,regularly,yes,1,school_bus,5 - 10,57,62,60
392,male,group C,associate's degree,standard,none,single,sometimes,yes,1,private,5 - 10,71,53,50
393,male,group D,some college,free/reduced,none,married,sometimes,yes,1,school_bus,5 - 10,71,72,66
394,female,group B,some college,free/reduced,none,married,sometimes,yes,0,school_bus,5 - 10,44,49,53
395,female,,,free/reduced,none,divorced,sometimes,no,1,school_bus,< 5,67,80,80
396,male,group D,associate's degree,standard,none,single,regularly,yes,1,school_bus,5 - 10,100,86,86
397,male,group C,bachelor's degree,standard,none,single,regularly,no,3,private,5 - 10,73,65,63
398,female,group C,some high school,standard,completed,single,regularly,yes,3,private,> 10,56,59,62
399,male,group C,bachelor's degree,free/reduced,,married,sometimes,no,3,school_bus,< 5,63,59,57
400,female,group D,some high school,free/reduced,completed,divorced,regularly,yes,0,school_bus,< 5,58,72,71
401,male,group D,some high school,free/reduced,completed,married,never,no,3,school_bus,5 - 10,53,61,52
402,female,group C,some college,free/reduced,none,,regularly,yes,4,private,,59,68,63
403,female,group C,some high school,standard,none,divorced,sometimes,no,2,school_bus,> 10,70,73,71
404,female,group C,bachelor's degree,free/reduced,none,married,sometimes,yes,2,school_bus,> 10,67,86,87
405,female,group D,some high school,free/reduced,none,divorced,never,yes,2,,< 5,41,59,57
406,male,group E,some college,free/reduced,none,widowed,regularly,,,,> 10,81,63,59
407,female,,high school,standard,none,divorced,regularly,yes,2,school_bus,> 10,50,55,55
408,female,group C,master's degree,free/reduced,none,married,regularly,no,3,school_bus,5 - 10,74,90,90
409,female,group E,high school,standard,completed,married,regularly,yes,2,school_bus,5 - 10,64,71,70
410,female,group E,high school,free/reduced,none,married,regularly,yes,3,private,> 10,76,83,78
411,male,group D,bachelor's degree,standard,none,married,regularly,yes,5,,5 - 10,67,68,67
412,female,group C,some high school,free/reduced,completed,married,,yes,2,school_bus,5 - 10,54,55,65
413,male,group D,some high school,free/reduced,none,widowed,sometimes,,3,private,5 - 10,68,56,57
414,male,group D,bachelor's degree,standard,completed,divorced,sometimes,yes,1,private,5 - 10,100,97,100
415,male,group E,associate's degree,standard,none,married,sometimes,yes,3,private,> 10,93,74,67
416,female,group D,some college,standard,completed,divorced,never,no,1,school_bus,5 - 10,50,70,78
417,male,,high school,free/reduced,none,married,sometimes,no,2,private,< 5,64,67,65
418,female,group B,high school,standard,none,married,sometimes,no,2,school_bus,5 - 10,45,59,60
419,female,group A,some college,free/reduced,completed,married,sometimes,yes,2,school_bus,5 - 10,56,70,68
420,male,group E,some high school,standard,completed,married,sometimes,yes,3,school_bus,5 - 10,88,73,70
421,female,,associate's degree,standard,,,sometimes,no,1,,5 - 10,60,66,60
422,female,group C,some college,standard,,,sometimes,yes,,school_bus,> 10,56,61,62
423,male,group B,some high school,free/reduced,none,married,regularly,yes,1,school_bus,5 - 10,61,61,59
424,male,group C,bachelor's degree,standard,none,single,sometimes,no,4,school_bus,< 5,73,75,71
425,male,group C,,free/reduced,none,divorced,sometimes,yes,2,private,5 - 10,75,77,63
426,male,group B,associate's degree,free/reduced,completed,married,regularly,,2,school_bus,< 5,46,39,44
427,female,group B,some college,standard,completed,married,sometimes,yes,2,school_bus,,66,79,88
428,female,,high school,standard,none,married,sometimes,no,3,school_bus,5 - 10,39,46,40
429,male,group C,some college,standard,completed,divorced,sometimes,yes,3,school_bus,5 - 10,61,54,61
430,male,group E,some college,standard,none,married,sometimes,no,2,private,< 5,91,84,80
431,male,group A,associate's degree,standard,none,divorced,sometimes,yes,3,private,5 - 10,78,81,77
432,male,group B,some college,standard,completed,married,regularly,no,,school_bus,5 - 10,100,99,95
433,female,group C,high school,standard,none,single,sometimes,yes,2,school_bus,> 10,64,71,70
434,female,group E,some high school,standard,none,single,regularly,yes,1,school_bus,5 - 10,73,70,69
436,male,group E,some high school,free/reduced,none,single,regularly,no,3,,5 - 10,63,60,54
437,male,group C,associate's degree,standard,none,married,never,no,4,private,5 - 10,50,42,39
438,male,group C,high school,standard,none,married,sometimes,yes,1,school_bus,> 10,58,51,46
439,female,group D,some high school,standard,none,single,regularly,yes,3,school_bus,> 10,62,65,63
440,female,group D,associate's degree,standard,completed,,sometimes,yes,1,private,5 - 10,82,83,92
441,female,group D,bachelor's degree,standard,none,married,sometimes,no,1,school_bus,> 10,77,86,92
442,male,group C,master's degree,standard,none,divorced,regularly,no,4,school_bus,< 5,82,80,80
445,male,group D,bachelor's degree,standard,completed,married,sometimes,yes,1,,> 10,90,90,96
447,female,group A,high school,free/reduced,none,married,never,yes,2,private,< 5,55,68,66
448,female,group D,associate's degree,free/reduced,none,single,never,yes,3,school_bus,> 10,42,49,47
449,male,group E,some high school,free/reduced,none,single,regularly,yes,4,school_bus,5 - 10,36,36,38
450,female,group C,bachelor's degree,standard,none,single,never,yes,4,private,< 5,77,80,81
451,male,group C,bachelor's degree,free/reduced,none,married,sometimes,yes,3,,5 - 10,51,50,46
452,female,group B,some high school,standard,completed,married,sometimes,yes,1,private,> 10,64,76,70
453,male,group C,high school,standard,none,single,sometimes,yes,4,school_bus,5 - 10,49,45,44
454,male,group A,some college,free/reduced,,single,never,yes,1,school_bus,5 - 10,31,24,22
455,female,group E,associate's degree,free/reduced,none,single,sometimes,yes,1,private,5 - 10,94,96,87
456,female,group E,some high school,free/reduced,none,married,never,yes,2,private,< 5,27,39,36
457,female,group C,associate's degree,free/reduced,none,single,regularly,no,2,school_bus,< 5,51,66,61
458,female,group A,high school,standard,none,divorced,sometimes,yes,0,school_bus,5 - 10,68,68,63
459,female,group C,high school,standard,none,divorced,regularly,yes,0,school_bus,5 - 10,66,72,77
460,female,group B,,free/reduced,,married,regularly,no,3,school_bus,5 - 10,40,60,58
461,female,group D,,standard,none,divorced,sometimes,yes,1,,< 5,39,56,49
462,male,group D,,standard,none,married,sometimes,yes,1,private,5 - 10,57,58,56
463,female,group A,,standard,completed,single,sometimes,no,2,school_bus,5 - 10,74,79,82
464,male,group B,,standard,none,married,never,yes,2,private,,78,80,76
465,female,group A,some college,standard,completed,married,regularly,yes,1,school_bus,5 - 10,47,50,56
466,male,group C,some high school,standard,completed,married,regularly,no,1,private,5 - 10,67,69,65
467,male,group D,high school,free/reduced,,single,sometimes,,0,school_bus,5 - 10,82,79,71
468,female,group C,some high school,standard,none,,sometimes,no,1,school_bus,> 10,55,62,63
469,male,group B,associate's degree,standard,completed,divorced,regularly,yes,3,private,> 10,75,62,60
470,male,group B,high school,standard,none,single,regularly,yes,,school_bus,< 5,66,59,50
471,male,group D,some college,standard,completed,married,regularly,yes,2,school_bus,5 - 10,81,74,74
472,female,group D,associate's degree,standard,completed,married,regularly,yes,2,private,5 - 10,88,100,100
473,female,group D,some college,standard,,married,sometimes,yes,3,,< 5,77,87,84
474,male,group E,some college,standard,none,single,regularly,no,1,private,< 5,87,80,76
475,female,group B,some college,free/reduced,none,married,sometimes,yes,2,private,5 - 10,46,50,52
476,female,group C,high school,free/reduced,none,married,regularly,no,3,private,> 10,61,74,72
478,male,group B,high school,standard,none,married,sometimes,,2,private,< 5,43,37,35
479,female,group D,bachelor's degree,standard,none,divorced,sometimes,no,3,private,5 - 10,77,87,87
480,female,group B,some college,standard,none,married,never,yes,2,private,5 - 10,66,73,75
481,male,group D,some high school,standard,completed,married,,no,1,school_bus,< 5,78,78,82
482,female,group D,master's degree,free/reduced,completed,married,regularly,yes,2,school_bus,< 5,69,74,88
483,male,group E,some high school,free/reduced,none,married,regularly,no,1,school_bus,5 - 10,67,65,60
484,male,group D,associate's degree,free/reduced,,single,sometimes,yes,3,school_bus,5 - 10,62,69,54
485,female,group D,high school,free/reduced,none,married,never,yes,2,,5 - 10,54,65,61
486,female,group C,high school,standard,none,single,regularly,yes,0,private,5 - 10,62,82,75
487,female,,associate's degree,standard,none,,sometimes,yes,2,school_bus,5 - 10,63,69,59
488,female,group C,some college,standard,none,divorced,sometimes,yes,,school_bus,5 - 10,53,64,62
489,female,group C,associate's degree,standard,completed,married,never,yes,0,private,< 5,44,61,62
490,male,group C,some college,free/reduced,none,single,sometimes,no,1,school_bus,> 10,65,49,48
491,male,group E,bachelor's degree,standard,none,married,sometimes,yes,2,school_bus,5 - 10,80,71,73
492,male,group D,master's degree,standard,none,divorced,sometimes,yes,2,private,5 - 10,93,72,78
493,male,,bachelor's degree,free/reduced,none,single,sometimes,yes,1,school_bus,5 - 10,66,63,63
494,female,group C,bachelor's degree,standard,completed,single,regularly,yes,2,school_bus,,81,84,89
495,female,group C,some college,standard,completed,single,regularly,no,3,private,> 10,65,72,79
496,male,group D,,standard,none,single,sometimes,yes,1,school_bus,> 10,76,70,71
498,female,group C,high school,standard,none,married,never,yes,4,school_bus,5 - 10,60,62,66
499,male,group C,some college,standard,none,single,regularly,no,2,school_bus,5 - 10,59,60,61
500,female,group B,high school,standard,completed,divorced,regularly,yes,3,school_bus,> 10,65,66,71
501,female,group B,some college,free/reduced,none,single,sometimes,yes,1,private,> 10,54,71,66
502,female,group C,some high school,standard,none,divorced,sometimes,no,3,school_bus,5 - 10,72,87,82
503,male,group B,associate's degree,standard,completed,married,regularly,yes,0,private,5 - 10,90,84,88
504,female,group C,high school,standard,completed,single,sometimes,yes,1,school_bus,5 - 10,50,60,59
505,female,group B,some college,standard,none,single,never,yes,2,school_bus,< 5,49,56,53
506,male,group D,associate's degree,free/reduced,none,,never,no,2,school_bus,> 10,70,68,64
507,male,group C,some college,standard,none,divorced,regularly,yes,4,,5 - 10,95,81,79
508,male,group E,some high school,standard,none,divorced,regularly,yes,3,school_bus,5 - 10,71,50,59
509,female,group D,associate's degree,standard,none,single,sometimes,no,,school_bus,> 10,65,83,86
510,female,group D,associate's degree,free/reduced,completed,single,regularly,yes,6,school_bus,< 5,75,85,91
511,male,group E,high school,standard,none,married,regularly,no,1,,5 - 10,61,53,47
512,male,group E,bachelor's degree,standard,,widowed,sometimes,yes,,private,5 - 10,75,82,75
513,female,group B,associate's degree,standard,none,single,regularly,yes,2,private,> 10,83,80,81
514,female,group B,bachelor's degree,free/reduced,none,single,sometimes,yes,6,,5 - 10,63,82,74
515,male,group C,high school,free/reduced,none,divorced,sometimes,yes,2,school_bus,< 5,55,54,46
516,female,group B,some college,free/reduced,none,single,sometimes,no,3,school_bus,5 - 10,51,58,58
517,female,group C,some high school,standard,completed,divorced,regularly,no,5,private,,69,76,71
518,male,group B,associate's degree,standard,none,married,sometimes,yes,4,school_bus,5 - 10,63,51,50
519,female,group D,bachelor's degree,standard,completed,single,regularly,no,2,private,5 - 10,80,87,88
520,female,group D,associate's degree,free/reduced,completed,divorced,sometimes,yes,3,school_bus,5 - 10,67,78,85
521,male,group D,master's degree,standard,none,married,regularly,yes,5,school_bus,5 - 10,96,87,94
522,male,group B,,standard,,married,regularly,,1,private,5 - 10,75,61,57
523,male,group B,some college,free/reduced,none,married,never,no,3,school_bus,5 - 10,57,56,52
524,female,group E,associate's degree,free/reduced,none,married,never,yes,0,school_bus,< 5,62,72,69
525,male,group B,bachelor's degree,free/reduced,completed,married,never,yes,2,school_bus,5 - 10,66,76,70
527,female,group C,some college,standard,completed,married,regularly,no,1,,< 5,61,61,63
528,male,group C,some high school,free/reduced,none,single,regularly,yes,0,school_bus,5 - 10,55,46,47
529,female,group D,high school,standard,none,single,regularly,,1,school_bus,5 - 10,83,85,96
530,male,group C,bachelor's degree,standard,none,single,never,no,2,school_bus,> 10,82,81,73
531,male,group E,some high school,free/reduced,none,single,sometimes,no,3,private,> 10,47,39,37
532,female,group A,associate's degree,free/reduced,none,married,sometimes,yes,2,private,< 5,49,65,64
533,male,group D,master's degree,standard,none,married,sometimes,yes,5,private,5 - 10,84,75,83
534,female,group E,some college,free/reduced,completed,married,regularly,no,3,private,5 - 10,59,69,72
536,female,group C,high school,free/reduced,completed,divorced,regularly,yes,0,school_bus,5 - 10,60,78,74
537,female,group D,some college,standard,none,married,sometimes,yes,3,private,< 5,49,71,67
538,male,group C,some college,free/reduced,completed,married,sometimes,no,1,school_bus,< 5,78,75,81
539,male,group D,high school,standard,none,single,sometimes,yes,2,,5 - 10,72,68,72
540,male,group C,bachelor's degree,free/reduced,none,married,sometimes,yes,3,private,5 - 10,48,58,51
541,male,group C,master's degree,free/reduced,none,single,never,no,1,,5 - 10,50,55,54
542,male,group C,,standard,none,married,sometimes,yes,5,school_bus,5 - 10,52,51,47
543,male,group B,some high school,standard,none,single,sometimes,no,3,school_bus,< 5,63,56,51
544,female,group C,some college,standard,none,single,sometimes,yes,1,school_bus,< 5,81,82,85
545,female,group B,associate's degree,standard,none,widowed,regularly,yes,2,private,> 10,81,79,84
546,male,group E,some college,standard,none,single,regularly,no,4,school_bus,> 10,81,63,61
547,female,group C,some college,free/reduced,none,married,regularly,yes,3,private,< 5,17,23,31
548,female,group B,some college,free/reduced,,married,regularly,yes,,private,> 10,50,63,60
549,female,group C,some high school,standard,none,divorced,regularly,yes,3,school_bus,5 - 10,44,55,48
550,male,group B,some college,standard,completed,married,regularly,yes,1,private,< 5,59,49,54
551,female,group D,associate's degree,free/reduced,completed,married,sometimes,yes,2,school_bus,5 - 10,53,70,73
552,female,group D,high school,standard,completed,married,sometimes,yes,0,private,> 10,78,85,88
553,male,,bachelor's degree,standard,none,single,sometimes,yes,1,private,5 - 10,71,62,67
554,male,group C,master's degree,free/reduced,none,single,regularly,yes,1,private,< 5,61,61,57
555,female,group D,high school,free/reduced,none,single,sometimes,yes,2,private,5 - 10,48,47,46
556,male,group C,associate's degree,standard,completed,single,regularly,yes,1,private,5 - 10,78,75,70
557,female,group D,high school,free/reduced,none,married,sometimes,no,7,private,5 - 10,60,66,67
558,female,group D,associate's degree,free/reduced,none,divorced,regularly,yes,3,school_bus,< 5,66,68,69
559,male,group C,associate's degree,standard,none,married,regularly,yes,,private,5 - 10,87,78,79
560,male,,associate's degree,standard,completed,married,sometimes,yes,3,school_bus,5 - 10,54,57,50
561,female,group C,associate's degree,standard,none,married,regularly,no,3,school_bus,5 - 10,80,83,82
562,male,group D,high school,free/reduced,completed,single,regularly,yes,2,private,> 10,67,78,74
563,male,group E,associate's degree,standard,completed,married,regularly,yes,2,school_bus,5 - 10,91,82,80
564,male,group E,bachelor's degree,free/reduced,none,married,sometimes,no,2,school_bus,5 - 10,60,57,55
565,male,group D,some college,standard,completed,married,regularly,no,1,school_bus,< 5,93,88,92
567,female,group D,some college,free/reduced,none,single,regularly,yes,4,school_bus,< 5,57,68,69
568,female,group A,bachelor's degree,standard,none,divorced,sometimes,yes,0,private,< 5,66,78,73
569,female,group B,some high school,standard,completed,single,sometimes,no,2,school_bus,5 - 10,71,84,90
570,male,group D,some college,standard,none,single,,yes,0,school_bus,> 10,63,65,65
571,male,group E,some high school,standard,none,married,sometimes,no,3,school_bus,5 - 10,84,72,73
572,female,group E,associate's degree,standard,none,married,sometimes,yes,1,private,5 - 10,70,75,70
573,female,group C,some college,free/reduced,completed,single,regularly,yes,0,private,5 - 10,73,94,91
574,female,group D,some college,standard,none,married,regularly,yes,1,school_bus,> 10,40,44,42
575,female,group A,associate's degree,standard,completed,single,sometimes,no,3,school_bus,5 - 10,90,98,99
576,female,group B,bachelor's degree,free/reduced,completed,single,,yes,1,,5 - 10,54,73,70
577,male,,,standard,completed,single,sometimes,yes,0,school_bus,5 - 10,79,80,81
578,male,group C,master's degree,standard,none,married,regularly,,1,school_bus,> 10,98,85,86
579,female,group D,some high school,free/reduced,none,married,regularly,no,1,,5 - 10,43,48,50
580,male,group D,bachelor's degree,standard,none,married,regularly,yes,2,,< 5,82,74,68
581,male,group D,high school,free/reduced,completed,married,never,yes,3,,5 - 10,40,33,34
582,female,group D,some high school,free/reduced,none,single,regularly,yes,2,private,5 - 10,54,69,61
583,female,group B,some college,free/reduced,none,married,never,yes,2,school_bus,5 - 10,39,54,47
584,female,group A,associate's degree,standard,completed,widowed,sometimes,yes,2,private,< 5,93,98,97
585,female,group E,high school,standard,none,married,regularly,yes,3,school_bus,< 5,70,68,73
586,female,group C,associate's degree,standard,completed,divorced,regularly,no,3,school_bus,5 - 10,57,76,75
587,female,group C,some college,standard,none,divorced,regularly,yes,4,private,> 10,66,75,77
589,female,group A,some high school,standard,none,married,regularly,no,1,school_bus,5 - 10,75,76,74
590,male,group B,some high school,free/reduced,none,married,sometimes,yes,1,private,5 - 10,50,54,43
591,female,group D,high school,standard,none,married,sometimes,yes,3,private,< 5,80,83,85
592,female,group C,some college,standard,none,single,regularly,yes,3,private,< 5,57,63,63
593,male,group C,some high school,standard,none,single,sometimes,yes,0,school_bus,5 - 10,42,30,34
594,male,group C,associate's degree,standard,none,married,regularly,no,2,,> 10,82,78,75
595,female,group B,some college,standard,none,married,sometimes,yes,2,private,5 - 10,70,76,79
596,female,group C,some college,standard,completed,single,regularly,no,3,school_bus,5 - 10,60,58,65
597,male,group B,,free/reduced,completed,married,regularly,no,2,school_bus,> 10,53,48,50
598,male,,bachelor's degree,free/reduced,,single,regularly,no,3,private,< 5,63,67,54
599,female,group C,associate's degree,standard,none,married,sometimes,yes,2,private,> 10,92,94,94
600,female,group B,high school,free/reduced,none,married,regularly,yes,0,private,5 - 10,44,50,48
601,male,group D,associate's degree,standard,completed,single,regularly,yes,1,private,> 10,85,75,83
602,male,group B,some high school,standard,completed,single,sometimes,no,1,private,5 - 10,44,51,53
603,male,group D,some college,standard,none,married,sometimes,no,2,private,5 - 10,70,65,66
604,female,group B,high school,free/reduced,none,married,sometimes,yes,3,school_bus,5 - 10,29,28,33
605,female,group D,high school,free/reduced,completed,divorced,sometimes,yes,0,,< 5,50,65,66
606,male,group E,some college,free/reduced,none,married,sometimes,yes,1,school_bus,> 10,73,66,67
607,male,group C,some high school,standard,none,divorced,regularly,no,1,school_bus,> 10,71,60,64
609,female,group C,high school,standard,none,married,never,no,1,school_bus,5 - 10,75,76,74
610,male,group B,some college,standard,none,married,never,yes,3,private,5 - 10,64,66,65
611,female,group B,high school,free/reduced,completed,married,sometimes,yes,1,school_bus,< 5,62,80,77
613,male,group E,some high school,standard,none,single,sometimes,yes,0,private,5 - 10,77,68,59
614,male,group B,some college,standard,none,single,sometimes,no,3,school_bus,> 10,81,70,74
615,male,group B,high school,standard,none,married,sometimes,yes,3,school_bus,> 10,47,39,27
616,male,group D,some college,standard,none,single,sometimes,yes,1,school_bus,> 10,67,72,69
617,male,,associate's degree,standard,,single,regularly,yes,3,,5 - 10,69,72,71
618,female,group C,some college,free/reduced,none,married,sometimes,yes,1,private,< 5,64,77,75
619,female,group C,bachelor's degree,free/reduced,completed,divorced,regularly,no,2,,> 10,59,65,72
620,female,group C,some college,free/reduced,completed,single,regularly,no,3,,5 - 10,61,68,71
621,male,group B,some college,standard,none,married,,yes,0,school_bus,5 - 10,49,50,54
622,female,group C,associate's degree,standard,,,regularly,,1,private,5 - 10,89,93,96
623,female,group D,some high school,standard,completed,married,sometimes,no,2,school_bus,< 5,67,77,86
625,female,group E,some high school,standard,none,married,never,no,1,private,5 - 10,87,98,93
627,female,group D,high school,standard,none,married,sometimes,yes,3,school_bus,5 - 10,53,65,62
628,male,group D,high school,standard,completed,single,regularly,yes,,school_bus,> 10,74,65,64
629,female,group E,high school,free/reduced,completed,married,sometimes,yes,1,,5 - 10,71,76,74
630,male,group D,bachelor's degree,standard,none,married,sometimes,no,3,school_bus,5 - 10,63,63,58
631,female,group E,some college,standard,none,married,regularly,yes,3,school_bus,< 5,72,71,74
632,female,group D,high school,standard,none,married,sometimes,yes,1,school_bus,> 10,66,77,73
633,female,group C,some college,standard,none,married,regularly,yes,3,private,5 - 10,55,59,59
634,female,group E,some college,free/reduced,completed,married,regularly,no,1,school_bus,> 10,83,88,94
635,male,group D,master's degree,standard,none,married,sometimes,yes,1,school_bus,< 5,68,59,61
